successful,,,,,,unsuccessful,,,,,,ratio
duration,project count,goal,pleadged,backers,,duration,project count,goal,pleadged,backers,,
1,35,571.5142857,1682.137988,33.65714286,,1,67,1655566.179,285.5589554,5.223880597,,0.343137255
2,55,1446.363636,2067.060544,35.67272727,,2,95,16231.56842,50.35905263,1.789473684,,0.366666667
3,70,828.6571429,2473.575996,66.61428571,,3,151,187756.7417,143.1245029,2.377483444,,0.316742081
4,83,1072.361446,2625.682164,98.45783133,,4,128,596259.3594,196.521094,3.96875,,0.393364929
5,194,2196.42268,12108.56647,135.8505155,,5,287,8725.623693,114.630662,2.526132404,,0.403326403
6,148,1203.635135,2220.757839,53.32432432,,6,194,32782.02062,258.5656188,5.144329897,,0.432748538
7,804,1511.13806,3279.167899,74.57462687,,7,968,22971.48492,268.5026241,5.100206612,,0.453724605
8,335,1898.549254,7226.980359,141.8328358,,8,301,348190.0199,305.0274086,5.219269103,,0.52672956
9,315,1703.857175,3135.513176,65.19365079,,9,266,120806.0376,303.8872932,4.338345865,,0.542168675
10,993,2058.240685,4648.816071,77.39073515,,10,1282,14257.46099,248.7044152,4.204368175,,0.436483516
11,418,3109.9511,6020.047062,137.4019139,,11,324,167075.3861,444.3688891,6.410493827,,0.563342318
12,496,2608.251391,5126.950463,93.91733871,,12,452,184477.5715,734.6728542,11.11504425,,0.523206751
13,452,2631.280973,5123.656044,86.68362832,,13,393,272042.5776,426.8547068,6.819338422,,0.534911243
14,2079,2879.360269,5979.304039,102.955748,,14,2044,30210.10192,468.1842954,7.193248532,,0.504244482
15,2216,2997.617234,5339.516098,91.25586643,,15,3093,40965.45845,405.9310632,6.905916586,,0.417404408
16,926,3889.932829,10430.13604,171.5831533,,16,698,17875.16105,878.0634361,12.31661891,,0.570197044
17,854,4202.512998,11467.48349,178.0433255,,17,668,10196.3849,593.4076798,9.893712575,,0.561103811
18,895,5635.212659,10624.7652,148.1597765,,18,754,18462.12105,1044.946622,11.97214854,,0.542753184
19,724,4641.10884,14104.17145,148.2334254,,19,593,14041.37268,1314.56263,16.60539629,,0.549734244
20,2726,4222.6646,8131.442504,103.0363169,,20,4014,18922.51271,721.0091164,8.92326856,,0.404451039
21,3581,5662.076199,14329.74168,153.4632784,,21,3057,51586.46758,1169.598999,14.10762185,,0.53946972
22,1537,6715.499557,17514.28777,213.8249837,,22,1137,42931.11041,1456.171435,20.32277924,,0.574794316
23,1242,6691.10582,22082.04542,249.3099839,,23,991,41809.45623,1473.902092,16.55196771,,0.556202418
24,1347,7113.392606,16503.20865,230.0868597,,24,1180,99888.66401,1519.788257,17.94915254,,0.533043134
25,2677,6361.630523,14768.71247,181.7807247,,25,3404,45720.86398,1153.250526,13.79494712,,0.440223647
26,1344,6816.253579,18150.71348,205.6287202,,26,1244,29365.10249,1743.048828,20.9807074,,0.519319938
27,1403,8270.367071,20114.02621,227.6756949,,27,1510,26546.57015,1491.270896,17.64569536,,0.481634054
28,2602,9803.751729,26415.58737,301.4646426,,28,2792,28696.91765,3351.416936,30.74426934,,0.482387838
29,2800,10926.86617,26447.05046,330.8346429,,29,3318,36931.52291,2609.210491,26.52169982,,0.457665904
30,53029,10061.33553,20056.55952,230.2404533,,30,114390,51118.48771,1393.561076,16.29673923,,0.316744217
31,6454,13455.159,34416.9652,445.1643942,,31,6650,44808.57816,3339.714993,38.07112782,,0.492521368
32,3711,15819.72739,39386.04715,424.2336297,,32,3508,39373.82012,3096.928984,37.12314709,,0.514060119
33,2683,14876.95824,39042.85203,439.2963101,,33,3050,52964.05249,4535.843811,48.60688525,,0.467992325
34,1743,14038.34002,37483.10842,399.0619621,,34,1829,37661.52572,3830.834762,38.86604702,,0.487961926
35,3872,15520.9313,40675.58138,399.2200413,,35,6143,42677.4345,3739.615024,37.55673124,,0.38662007
36,1620,13983.58292,36075.75281,398.367284,,36,1785,46401.07285,3608.643757,36.57086835,,0.475770925
37,1181,15657.07468,43300.18424,396.6375953,,37,1380,36886.74493,3289.146943,35.4,,0.461147989
38,954,13099.36897,52423.32742,487.7830189,,38,1221,49114.41768,3609.864388,38.06224406,,0.43862069
39,823,14700.18591,39918.84637,363.5674362,,39,1093,42694.41854,4126.709741,34.7904849,,0.42954071
40,3284,14531.35382,36415.19016,328.069123,,40,6653,66888.70212,2598.336316,25.87329025,,0.330482037
41,804,12584.38828,27415.92039,265.460199,,41,1004,114322.6122,3176.701085,31.17330677,,0.444690265
42,820,12235.82439,31162.6133,331.8890244,,42,1172,109918.9632,3081.123558,32.39249147,,0.411646586
43,600,13631.86167,35457.1371,366.2666667,,43,802,35388.58021,3127.57096,31.57107232,,0.427960057
44,638,12441.27588,57095.07499,416.2225705,,44,927,59647.54004,2443.589113,26.600863,,0.407667732
45,5008,15606.65649,40936.49671,360.0966454,,45,12630,67531.2238,2678.886851,25.10688836,,0.283932419
46,877,13173.52361,39890.16131,350.7924743,,46,1138,65570.35714,4025.569654,38.22495606,,0.435235732
47,516,12837.17054,30811.3563,471.0988372,,47,730,41906.92109,2464.6643,24.45342466,,0.414125201
48,333,10936.8979,21914.8098,233.960961,,48,617,34714.06321,2186.623596,19.78768233,,0.350526316
49,344,14656.20555,42724.94291,338.9534884,,49,568,48044.73944,3121.955745,21.29401408,,0.377192982
50,742,11100.10377,29470.69624,252.3261456,,50,1873,36546.44966,2694.89073,22.98878804,,0.28374761
51,292,9554.726371,40677.78677,738.25,,51,559,100229.7907,2809.762534,17.88729875,,0.343125734
52,251,12024.11554,20493.25767,214.1553785,,52,482,56936.2778,2995.064712,25.7966805,,0.342428377
53,242,10607.72256,77908.28685,457.8884298,,53,434,70022.85484,1569.268593,16.57142857,,0.357988166
54,212,7469.023585,23631.57511,231.2830189,,54,439,287248.072,1358.955436,15.523918,,0.325652842
55,274,11982.97931,28498.66046,317.7846715,,55,640,286039.8752,2560.853692,26.1109375,,0.299781182
56,215,10594.23256,24318.79079,320.2790698,,56,528,121993.8466,1825.829033,17.55871212,,0.289367429
57,211,7338.582938,18282.49329,214.5308057,,57,540,163358.313,1232.20961,13.87037037,,0.280958722
58,236,8272.864407,70105.04643,411.1186441,,58,713,287795.2076,1742.2309,14.82047686,,0.248682824
59,445,13167.47865,44235.80965,294.0786517,,59,1420,189719.6855,2228.622718,13.60633803,,0.238605898
60,6217,10831.43387,27510.14971,265.5267814,,60,27083,198678.7415,1403.566348,13.35871211,,0.186696697
61,284,5424.658451,6961.352739,92.3556338,,61,475,17568.34379,674.7271579,10.72842105,,0.374176548
62,104,4999.741446,6075.759039,78.75,,62,134,10077.09067,757.1778318,10.43283582,,0.43697479
63,59,5767.966102,6535.581175,83.71186441,,63,74,12822.17446,521.4594595,7.905405405,,0.443609023
64,42,7659.52381,8892.018805,98.07142857,,64,47,14328.40426,981.3602113,10.59574468,,0.471910112
65,49,5463.285714,6572.4163,84.71428571,,65,69,11115,1046.484638,12.98550725,,0.415254237
66,49,6182.877551,7163.59203,86.06122449,,66,66,7674.262577,994.3028823,13.93939394,,0.426086957
67,39,5426.282051,6820.468465,97.02564103,,67,39,15391.94872,820.6030772,11.64102564,,0.5
68,29,5434.482759,8330.210083,136.6551724,,68,38,27294.73684,2767.565314,35.02631579,,0.432835821
69,25,5859.16,7417.835244,93.72,,69,41,12742.68317,495.5121951,7.682926829,,0.378787879
70,43,4166.325581,5687.598832,103.4651163,,70,67,12919.46059,1130.094333,11.58208955,,0.390909091
71,43,5506.72093,8783.871185,109.1395349,,71,44,11129.54545,609.5684093,8.431818182,,0.494252874
72,36,4029.638889,4648.630839,67.86111111,,72,46,12034.78261,787.5160881,7.847826087,,0.43902439
73,21,5645.47619,8395.003278,156.8095238,,73,35,5638.571429,387.5951451,7.857142857,,0.375
74,20,8635,9567.938977,95.05,,74,26,15830.96154,625.6546155,10.80769231,,0.434782609
75,33,11402.27273,23067.02368,283.030303,,75,62,15207.17742,1616.615,16.98387097,,0.347368421
76,31,4742.935484,5686.013244,72.83870968,,76,56,10248.21429,877.0176828,9.821428571,,0.356321839
77,21,5071.428571,5682.379522,70.95238095,,77,31,12746.77419,470.1612903,7.903225806,,0.403846154
78,19,4178.947368,4674.325266,53.84210526,,78,36,11340.27778,556.2436112,11.97222222,,0.345454545
79,16,4090.625,4926.728153,69.6875,,79,23,14167.3913,655.0434783,9.086956522,,0.41025641
